# segment	start	end	raw	survivors	hits	block_sec	raw_per_sec	total_hits_after_segment
1	30000000001	42000000000	12000000000	5142857143	0	2996.168	4005116.429	0
2	42000000001	54000000000	12000000000	5142857143	1	2998.267	4002311.634	1
3	54000000001	66000000000	12000000000	5142857143	0	3021.597	3971410.436	1
4	66000000001	78000000000	12000000000	5142857143	0	3013.352	3982276.059	1
5	78000000001	90000000000	12000000000	5142857142	0	3063.047	3917667.439	1
6	90000000001	102000000000	12000000000	5142857143	0	3012.979	3982769.755	1
7	102000000001	114000000000	12000000000	5142857143	0	3227.970	3717506.502	1
8	114000000001	126000000000	12000000000	5142857143	0	3095.443	3876666.480	1
9	126000000001	138000000000	12000000000	5142857143	0	3117.803	3848864.245	1
10	138000000001	150000000000	12000000000	5142857143	0	3085.824	3888750.336	1
11	150000000001	162000000000	12000000000	5142857143	0	3195.016	3755849.174	1
12	162000000001	174000000000	12000000000	5142857142	0	3282.863	3655345.785	1
13	174000000001	186000000000	12000000000	5142857143	0	3111.341	3856857.282	1
14	186000000001	198000000000	12000000000	5142857143	0	3216.872	3730331.938	1
15	198000000001	210000000000	12000000000	5142857143	0	3127.915	3836421.270	1
16	210000000001	222000000000	12000000000	5142857143	0	3140.616	3820906.698	1
17	222000000001	234000000000	12000000000	5142857143	0	3299.119	3637334.619	1
18	234000000001	246000000000	12000000000	5142857143	1	3188.804	3763166.650	2
19	246000000001	258000000000	12000000000	5142857142	0	3109.314	3859372.772	2
20	258000000001	270000000000	12000000000	5142857143	0	3102.491	3867860.313	2
21	270000000001	282000000000	12000000000	5142857143	0	3220.090	3726603.487	2
22	282000000001	294000000000	12000000000	5142857143	0	3396.939	3532591.830	2
23	294000000001	300000000000	6000000000	2571428571	0	1917.511	3129055.590	2

